Position: [0.46998069985519386, 0.2635064109139859, 98.85728572079857], Rotation: [0.2895677999999998, 0.4785199666666671, 0.8706659182746853], Velocity: [1.7090207267461597, 0.9582051305963125, -3.8184155607324795], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.49846437863429655, 0.27947649642392447, 98.79092046145303], Rotation: [0.2980844999999998, 0.49259408333333377, 0.8706659182746853], Velocity: [1.7592860422386938, 0.9863876344373805, -3.930721900754023], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.5277858126716081, 0.29591629033121414, 98.7226834297738], Rotation: [0.3066011999999998, 0.5066682000000005, 0.8706659182746853], Velocity: [1.8095513577312279, 1.0145701382784484, -4.043028240775566], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.5579450019671285, 0.31282579263585497, 98.65257462576086], Rotation: [0.3151178999999998, 0.5207423166666671, 0.8706659182746853], Velocity: [1.859816673223762, 1.0427526421195163, -4.15533458079711], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.5889419465208579, 0.3302050033378469, 98.58059404941424], Rotation: [0.3236345999999998, 0.5348164333333338, 0.8706659182746853], Velocity: [1.910081988716296, 1.0709351459605843, -4.267640920818653], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.6207766463327962, 0.34805392243718997, 98.50674170073394], Rotation: [0.33215129999999976, 0.5488905500000005, 0.8706659182746853], Velocity: [1.9603473042088302, 1.0991176498016522, -4.379947260840197], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.6534491014029433, 0.3663725499338842, 98.43101757971993], Rotation: [0.34066799999999975, 0.5629646666666672, 0.8706659182746853], Velocity: [2.0106126197013645, 1.12730015364272, -4.492253600861741], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.6869593117312994, 0.3851608858279295, 98.35342168637224], Rotation: [0.34918469999999974, 0.5770387833333339, 0.8706659182746853], Velocity: [2.060877935193899, 1.155482657483788, -4.604559940883284], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.7213072773178644, 0.40441893011932595, 98.27395402069085], Rotation: [0.3577013999999997, 0.5911129000000006, 0.8706659182746853], Velocity: [2.111143250686433, 1.1836651613248559, -4.716866280904828], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.7564929981626383, 0.42414668280807355, 98.19261458267577], Rotation: [0.3662180999999997, 0.6051870166666673, 0.8706659182746853], Velocity: [2.1614085661789675, 1.2118476651659238, -4.8291726209263715], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.792516474265621, 0.44434414389417226, 98.109403372327], Rotation: [0.3747347999999997, 0.619261133333334, 0.8706659182746853], Velocity: [2.211673881671502, 1.2400301690069917, -4.941478960947915], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.8293777056268127, 0.46501131337762214, 98.02432038964453], Rotation: [0.3832514999999997, 0.6333352500000007, 0.8706659182746853], Velocity: [2.261939197164036, 1.2682126728480596, -5.053785300969459], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.8670766922462133, 0.4861481912584231, 97.93736563462838], Rotation: [0.3917681999999997, 0.6474093666666674, 0.8706659182746853], Velocity: [2.3122045126565705, 1.2963951766891275, -5.166091640991002], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.9056134341238228, 0.5077547775365753, 97.84853910727853], Rotation: [0.40028489999999967, 0.6614834833333341, 0.8706659182746853], Velocity: [2.362469828149105, 1.3245776805301954, -5.278397981012546], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.9449879312596412, 0.5298310722120785, 97.75784080759499], Rotation: [0.40880159999999965, 0.6755576000000008, 0.8706659182746853], Velocity: [2.412735143641639, 1.3527601843712633, -5.3907043210340895], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [0.9852001836536686, 0.5523770752849329, 97.66527073557775], Rotation: [0.41731829999999964, 0.6896317166666674, 0.8706659182746853], Velocity: [2.4630004591341734, 1.3809426882123312, -5.503010661055633], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.0262501913059048, 0.5753927867551384, 97.57082889122682], Rotation: [0.42583499999999963, 0.7037058333333341, 0.8706659182746853], Velocity: [2.5132657746267077, 1.4091251920533991, -5.615317001077177], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.0681379542163498, 0.5988782066226951, 97.4745152745422], Rotation: [0.4343516999999996, 0.7177799500000008, 0.8706659182746853], Velocity: [2.563531090119242, 1.437307695894467, -5.72762334109872], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.110863472385004, 0.6228333348876028, 97.37632988552389], Rotation: [0.4428683999999996, 0.7318540666666675, 0.8706659182746853], Velocity: [2.6137964056117764, 1.465490199735535, -5.839929681120264], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.1544267458118669, 0.6472581715498618, 97.27627272417189], Rotation: [0.4513850999999996, 0.7459281833333342, 0.8706659182746853], Velocity: [2.6640617211043107, 1.4936727035766029, -5.9522360211418075], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.1988277744969387, 0.6721527166094718, 97.17434379048619], Rotation: [0.4599017999999996, 0.7600023000000009, 0.8706659182746853], Velocity: [2.714327036596845, 1.5218552074176708, -6.064542361163351], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.2440665584402195, 0.697516970066433, 97.0705430844668], Rotation: [0.46841849999999957, 0.7740764166666676, 0.8706659182746853], Velocity: [2.7645923520893794, 1.5500377112587387, -6.176848701184895], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.2901430976417092, 0.7233509319207453, 96.96487060611372], Rotation: [0.47693519999999956, 0.7881505333333343, 0.8706659182746853], Velocity: [2.8148576675819137, 1.5782202150998066, -6.289155041206438], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.3370573921014077, 0.7496546021724088, 96.85732635542695], Rotation: [0.48545189999999955, 0.802224650000001, 0.8706659182746853], Velocity: [2.865122983074448, 1.6064027189408745, -6.401461381227982], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
Position: [1.384809441819315, 0.7764279808214233, 96.74791033240648], Rotation: [0.49396859999999954, 0.8162987666666677, 0.8706659182746853], Velocity: [2.9153882985669823, 1.6345852227819424, -6.5137677212495255], Thrust Rotation: (0.511002, 0.844447), Thrust Magnitude: 0.47145
