Position: [-1.552446038641253, -0.3000008069959972, 98.39630629777751], Rotation: [0.11135308333333328, -0.8746593333333338, 3.6364416800735166], Velocity: [-5.479221312851482, -1.0588263776329316, -5.32347777254997], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-1.6437663938554445, -0.3176479132898794, 98.30485666823502], Rotation: [0.11453459999999994, -0.8996496000000005, 3.6364416800735166], Velocity: [-5.635770493218668, -1.0890785598510153, -5.475577137479969], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-1.7376959020757556, -0.33579922262072964, 98.21087204927701], Rotation: [0.1177161166666666, -0.9246398666666672, 3.6364416800735166], Velocity: [-5.792319673585853, -1.119330742069099, -5.627676502409968], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-1.8342345633021866, -0.35445473498854796, 98.11435244090352], Rotation: [0.12089763333333327, -0.9496301333333339, 3.6364416800735166], Velocity: [-5.948868853953038, -1.1495829242871827, -5.779775867339967], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-1.9333823775347372, -0.37361445039333435, 98.01529784311451], Rotation: [0.12407914999999993, -0.9746204000000006, 3.6364416800735166], Velocity: [-6.105418034320223, -1.1798351065052664, -5.931875232269966], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-2.0351393447734076, -0.39327836883508877, 97.91370825591001], Rotation: [0.1272606666666666, -0.9996106666666673, 3.6364416800735166], Velocity: [-6.261967214687409, -1.21008728872335, -6.083974597199965], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-2.139505465018198, -0.41344649031381125, 97.80958367929001], Rotation: [0.13044218333333327, -1.024600933333334, 3.6364416800735166], Velocity: [-6.418516395054594, -1.2403394709414337, -6.2360739621299635], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-2.2464807382691077, -0.4341188148295018, 97.70292411325451], Rotation: [0.13362369999999993, -1.0495912000000005, 3.6364416800735166], Velocity: [-6.575065575421779, -1.2705916531595174, -6.388173327059962], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-2.3560651645261372, -0.45529534238216046, 97.59372955780351], Rotation: [0.1368052166666666, -1.074581466666667, 3.6364416800735166], Velocity: [-6.731614755788964, -1.300843835377601, -6.540272691989961], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-2.4682587437892867, -0.4769760729717871, 97.48200001293701], Rotation: [0.13998673333333325, -1.0995717333333337, 3.6364416800735166], Velocity: [-6.8881639361561495, -1.3310960175956847, -6.69237205691996], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-2.583061476058556, -0.49916100659838186, 97.367735478655], Rotation: [0.1431682499999999, -1.1245620000000003, 3.6364416800735166], Velocity: [-7.044713116523335, -1.3613481998137684, -6.844471421849959], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-2.7004733613339447, -0.5218501432619447, 97.25093595495751], Rotation: [0.14634976666666658, -1.1495522666666669, 3.6364416800735166], Velocity: [-7.20126229689052, -1.391600382031852, -6.996570786779958], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-2.8204943996154532, -0.5450434829624755, 97.13160144184451], Rotation: [0.14953128333333324, -1.1745425333333335, 3.6364416800735166], Velocity: [-7.357811477257705, -1.4218525642499358, -7.148670151709957], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-2.9431245909030816, -0.5687410256999744, 97.00973193931601], Rotation: [0.1527127999999999, -1.1995328, 3.6364416800735166], Velocity: [-7.5143606576248905, -1.4521047464680195, -7.3007695166399555], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-3.06836393519683, -0.5929427714744414, 96.885327447372], Rotation: [0.15589431666666656, -1.2245230666666667, 3.6364416800735166], Velocity: [-7.670909837992076, -1.4823569286861031, -7.452868881569954], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-3.196212432496698, -0.6176487202858765, 96.7583879660125], Rotation: [0.15907583333333322, -1.2495133333333333, 3.6364416800735166], Velocity: [-7.827459018359261, -1.5126091109041868, -7.604968246499953], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-3.3266700828026856, -0.6428588721342796, 96.62891349523751], Rotation: [0.16225734999999988, -1.2745035999999998, 3.6364416800735166], Velocity: [-7.984008198726446, -1.5428612931222705, -7.757067611429952], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-3.459736886114793, -0.6685732270196508, 96.49690403504701], Rotation: [0.16543886666666655, -1.2994938666666664, 3.6364416800735166], Velocity: [-8.14055737909363, -1.5731134753403542, -7.909166976359951], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-3.5954128424330203, -0.69479178494199, 96.36235958544101], Rotation: [0.1686203833333332, -1.324484133333333, 3.6364416800735166], Velocity: [-8.297106559460815, -1.6033656575584379, -8.06126634128995], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-3.7336979517573674, -0.7215145459012973, 96.22528014641951], Rotation: [0.17180189999999987, -1.3494743999999996, 3.6364416800735166], Velocity: [-8.453655739828, -1.6336178397765215, -8.21336570621995], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-3.874592214087834, -0.7487415098975726, 96.08566571798251], Rotation: [0.17498341666666653, -1.3744646666666662, 3.6364416800735166], Velocity: [-8.610204920195184, -1.6638700219946052, -8.365465071149949], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-4.018095629424421, -0.776472676930816, 95.94351630013001], Rotation: [0.1781649333333332, -1.3994549333333328, 3.6364416800735166], Velocity: [-8.766754100562368, -1.6941222042126889, -8.517564436079947], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-4.164208197767127, -0.8047080470010275, 95.79883189286201], Rotation: [0.18134644999999985, -1.4244451999999994, 3.6364416800735166], Velocity: [-8.923303280929552, -1.7243743864307726, -8.669663801009946], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-4.312929919115953, -0.833447620108207, 95.65161249617852], Rotation: [0.18452796666666652, -1.449435466666666, 3.6364416800735166], Velocity: [-9.079852461296737, -1.7546265686488562, -8.821763165939945], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-4.464260793470898, -0.8626913962523547, 95.50185811007951], Rotation: [0.18770948333333318, -1.4744257333333326, 3.6364416800735166], Velocity: [-9.236401641663921, -1.78487875086694, -8.973862530869944], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-4.618200820831963, -0.8924393754334704, 95.34956873456501], Rotation: [0.19089099999999984, -1.4994159999999992, 3.6364416800735166], Velocity: [-9.392950822031105, -1.8151309330850236, -9.125961895799943], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-4.774750001199148, -0.9226915576515541, 95.19474436963502], Rotation: [0.1940725166666665, -1.5244062666666658, 3.6364416800735166], Velocity: [-9.54950000239829, -1.8453831153031073, -9.278061260729942], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-4.933908334572453, -0.9534479429066058, 95.03738501528952], Rotation: [0.19725403333333316, -1.5493965333333324, 3.6364416800735166], Velocity: [-9.706049182765474, -1.875635297521191, -9.43016062565994], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-5.095675820951878, -0.9847085311986257, 94.87749067152852], Rotation: [0.20043554999999982, -1.574386799999999, 3.6364416800735166], Velocity: [-9.862598363132658, -1.9058874797392746, -9.58225999058994], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-5.260052460337422, -1.0164733225276135, 94.71506133835202], Rotation: [0.20361706666666649, -1.5993770666666656, 3.6364416800735166], Velocity: [-10.019147543499843, -1.9361396619573583, -9.734359355519938], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-5.427038252729086, -1.0487423168935694, 94.55009701576002], Rotation: [0.20679858333333315, -1.6243673333333322, 3.6364416800735166], Velocity: [-10.175696723867027, -1.966391844175442, -9.886458720449937], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-5.59663319812687, -1.0815155142964934, 94.38259770375252], Rotation: [0.2099800999999998, -1.6493575999999988, 3.6364416800735166], Velocity: [-10.332245904234211, -1.9966440263935257, -10.038558085379936], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-5.768837296530774, -1.1147929147363855, 94.21256340232952], Rotation: [0.21316161666666647, -1.6743478666666654, 3.6364416800735166], Velocity: [-10.488795084601396, -2.0268962086116096, -10.190657450309935], Thrust Rotation: (0.190891, -1.499416), Thrust Magnitude: 0.977691
Position: [-5.943650547940797, -1.1485745182132456, 94.03999411149103], Rotation: [0.21635271666666647, -1.6649854999999987, 3.6364416800735166], Velocity: [-10.444092705344213, -2.018231077503132, -10.281809201974307], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-6.117718759696533, -1.182211702838298, 93.86590562479145], Rotation: [0.21954381666666647, -1.655623133333332, 3.6364416800735166], Velocity: [-10.39939032608703, -2.0095659463946545, -10.372960953638678], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-6.2910419317979835, -1.2157044686115421, 93.69029794223081], Rotation: [0.22273491666666648, -1.6462607666666653, 3.6364416800735166], Velocity: [-10.354687946829847, -2.000900815286177, -10.46411270530305], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-6.463620064245148, -1.2490528155329783, 93.5131710638091], Rotation: [0.22592601666666648, -1.6368983999999986, 3.6364416800735166], Velocity: [-10.309985567572664, -1.9922356841776996, -10.555264456967421], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-6.635453157038025, -1.2822567436026067, 93.3345249895263], Rotation: [0.22911711666666648, -1.627536033333332, 3.6364416800735166], Velocity: [-10.26528318831548, -1.9835705530692223, -10.646416208631793], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-6.806541210176617, -1.315316252820427, 93.15435971938244], Rotation: [0.23230821666666648, -1.6181736666666653, 3.6364416800735166], Velocity: [-10.220580809058298, -1.974905421960745, -10.737567960296165], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-6.976884223660922, -1.3482313431864394, 92.9726752533775], Rotation: [0.23549931666666649, -1.6088112999999986, 3.6364416800735166], Velocity: [-10.175878429801115, -1.9662402908522676, -10.828719711960536], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-7.146482197490941, -1.3810020147006439, 92.7894715915115], Rotation: [0.2386904166666665, -1.599448933333332, 3.6364416800735166], Velocity: [-10.131176050543932, -1.9575751597437903, -10.919871463624908], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-7.315335131666673, -1.4136282673630405, 92.60474873378442], Rotation: [0.2418815166666665, -1.5900865666666653, 3.6364416800735166], Velocity: [-10.086473671286749, -1.948910028635313, -11.01102321528928], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-7.4834430261881195, -1.446110101173629, 92.41850668019626], Rotation: [0.2450726166666665, -1.5807241999999986, 3.6364416800735166], Velocity: [-10.041771292029566, -1.9402448975268356, -11.102174966953651], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-7.650805881055279, -1.4784475161324095, 92.23074543074704], Rotation: [0.2482637166666665, -1.571361833333332, 3.6364416800735166], Velocity: [-9.997068912772383, -1.9315797664183583, -11.193326718618023], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
Position: [-7.817423696268151, -1.5106405122393822, 92.04146498543673], Rotation: [0.25145481666666647, -1.5619994666666652, 3.6364416800735166], Velocity: [-9.9523665335152, -1.922914635309881, -11.284478470282394], Thrust Rotation: (0.191466, 0.561742), Thrust Magnitude: 0.522843
