Position: [1.8068140614151988, -0.15453960430058372, 96.85886444327889], Rotation: [2.444980849999999, -0.9976162499999992, 4.393545855766076], Velocity: [4.957931400353866, -0.42407728142308576, -7.608715724868394], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.8894462514210966, -0.1616075589909685, 96.72932751453108], Rotation: [2.495918549999999, -1.022798266666666, 4.393545855766076], Velocity: [5.0687239936236494, -0.43355429872625884, -7.765549789628283], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [1.9739249846481575, -0.16883346396973947, 96.59717668470394], Rotation: [2.546856249999999, -1.0479802833333327, 4.393545855766076], Velocity: [5.179516586893433, -0.4430313160294319, -7.922383854388172], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.0602502610963813, -0.17621731923689668, 96.46241195379747], Rotation: [2.597793949999999, -1.0731622999999995, 4.393545855766076], Velocity: [5.2903091801632165, -0.452508333332605, -8.07921791914806], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.1484220807657683, -0.1837591247924401, 96.32503332181167], Rotation: [2.648731649999999, -1.0983443166666662, 4.393545855766076], Velocity: [5.401101773433, -0.46198535063577806, -8.236051983907949], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.2384404436563186, -0.19145888063636973, 96.18504078874655], Rotation: [2.699669349999999, -1.123526333333333, 4.393545855766076], Velocity: [5.5118943667027835, -0.47146236793895113, -8.392886048667837], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.3303053497680315, -0.19931658676868558, 96.04243435460208], Rotation: [2.750607049999999, -1.1487083499999997, 4.393545855766076], Velocity: [5.622686959972567, -0.4809393852421242, -8.549720113427725], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.4240167991009076, -0.20733224318938764, 95.89721401937828], Rotation: [2.801544749999999, -1.1738903666666665, 4.393545855766076], Velocity: [5.733479553242351, -0.4904164025452973, -8.706554178187613], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.519574791654947, -0.21550584989847593, 95.74937978307516], Rotation: [2.852482449999999, -1.1990723833333332, 4.393545855766076], Velocity: [5.844272146512134, -0.49989341984847036, -8.8633882429475], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.616979327430149, -0.22383740689595044, 95.5989316456927], Rotation: [2.9034201499999988, -1.2242544, 4.393545855766076], Velocity: [5.955064739781918, -0.5093704371516434, -9.020222307707389], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.716230406426514, -0.23232691418181117, 95.44586960723092], Rotation: [2.9543578499999987, -1.2494364166666667, 4.393545855766076], Velocity: [6.065857333051701, -0.5188474544548165, -9.177056372467277], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.8173280286440425, -0.24097437175605813, 95.29019366768979], Rotation: [3.0052955499999987, -1.2746184333333335, 4.393545855766076], Velocity: [6.176649926321485, -0.5283244717579896, -9.333890437227165], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [2.920272194082734, -0.24977977961869127, 95.13190382706934], Rotation: [3.0562332499999987, -1.2998004500000002, 4.393545855766076], Velocity: [6.287442519591268, -0.5378014890611627, -9.490724501987053], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [3.0250629027425884, -0.25874313776971064, 94.97100008536955], Rotation: [3.1071709499999987, -1.324982466666667, 4.393545855766076], Velocity: [6.398235112861052, -0.5472785063643357, -9.647558566746941], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
Position: [3.131700154623606, -0.26786444620911626, 94.80748244259044], Rotation: [3.1581086499999986, -1.3501644833333337, 4.393545855766076], Velocity: [6.509027706130835, -0.5567555236675088, -9.804392631506829], Thrust Rotation: (3.056262, -1.510921), Thrust Magnitude: 0.681326
