Position: [0.3382540876260951, 0.004822837913155296, 98.32669135815523], Rotation: [0.008152899999999996, 0.5072934000000003, 1.5653319080837433], Velocity: [0.6846648062241713, 0.009546856875286185, -6.287459261095988], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.3496651677298313, 0.004981952194410066, 98.2191753704703], Rotation: [0.00840058333333333, 0.4642591333333337, 1.5653319080837433], Velocity: [0.616583614692854, 0.00853502779958778, -6.559674330514471], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.35994156130804555, 0.005124202657736529, 98.10712246496172], Rotation: [0.008648266666666663, 0.42122486666666703, 1.5653319080837433], Velocity: [0.5485024231615369, 0.007523198723889376, -6.831889399932955], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.36908326836073785, 0.005249589303134685, 97.9905326416295], Rotation: [0.008895949999999996, 0.3781906000000004, 1.5653319080837433], Velocity: [0.48042123163021966, 0.006511369648190973, -7.104104469351438], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.3770902888879082, 0.005358112130604534, 97.86940590047364], Rotation: [0.00914363333333333, 0.3351563333333337, 1.5653319080837433], Velocity: [0.41234004009890246, 0.005499540572492569, -7.376319538769922], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.38396262288955657, 0.005449771140146077, 97.74374224149413], Rotation: [0.009391316666666663, 0.29212206666666707, 1.5653319080837433], Velocity: [0.34425884856758526, 0.004487711496794165, -7.648534608188405], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.389700270365683, 0.0055245663317593134, 97.613541664691], Rotation: [0.009638999999999997, 0.24908780000000041, 1.5653319080837433], Velocity: [0.27617765703626806, 0.003475882421095761, -7.920749677606889], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.3943032313162875, 0.005582497705444243, 97.47880417006422], Rotation: [0.00988668333333333, 0.20605353333333376, 1.5653319080837433], Velocity: [0.20809646550495087, 0.0024640533453973573, -8.192964747025373], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.39777150574137, 0.005623565261200865, 97.3395297576138], Rotation: [0.010134366666666663, 0.1630192666666671, 1.5653319080837433], Velocity: [0.14001527397363367, 0.0014522242696989533, -8.465179816443857], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.40010509364093055, 0.0056477689990291815, 97.19571842733974], Rotation: [0.010382049999999997, 0.11998500000000044, 1.5653319080837433], Velocity: [0.07193408244231647, 0.00044039519400054924, -8.737394885862342], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.40130399501496916, 0.00565510891892919, 97.04737017924204], Rotation: [0.01062973333333333, 0.07695073333333377, 1.5653319080837433], Velocity: [0.0038528909109992737, -0.0005714338816978548, -9.009609955280826], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.4013682098634858, 0.005645585020900893, 96.89448501332069], Rotation: [0.010877416666666664, 0.0339164666666671, 1.5653319080837433], Velocity: [-0.06422830062031792, -0.0015832629573962588, -9.28182502469931], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.4002977381864805, 0.005619197304944289, 96.7370629295757], Rotation: [0.011125099999999997, -0.009117799999999565, 1.5653319080837433], Velocity: [-0.13230949215163512, -0.0025950920330946627, -9.554040094117795], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.39809257998395325, 0.0055759457710593775, 96.57510392800707], Rotation: [0.01137278333333333, -0.05215206666666623, 1.5653319080837433], Velocity: [-0.20039068368295232, -0.0036069211087930665, -9.82625516353628], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.39475273525590404, 0.00551583041924616, 96.40860800861479], Rotation: [0.011620466666666664, -0.0951863333333329, 1.5653319080837433], Velocity: [-0.2684718752142695, -0.00461875018449147, -10.098470232954764], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.3902782040023329, 0.0054388512495046355, 96.23757517139887], Rotation: [0.011868149999999997, -0.13822059999999958, 1.5653319080837433], Velocity: [-0.3365530667455867, -0.005630579260189874, -10.370685302373248], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.38466898622323975, 0.005345008261834804, 96.06200541635931], Rotation: [0.012115833333333331, -0.18125486666666624, 1.5653319080837433], Velocity: [-0.4046342582769039, -0.006642408335888278, -10.642900371791733], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.3779250819186247, 0.005234301456236666, 95.88189874349612], Rotation: [0.012363516666666664, -0.2242891333333329, 1.5653319080837433], Velocity: [-0.4727154498082211, -0.007654237411586682, -10.915115441210217], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.37004649108848764, 0.005106730832710221, 95.69725515280929], Rotation: [0.012611199999999998, -0.26732339999999954, 1.5653319080837433], Velocity: [-0.5407966413395383, -0.008666066487285086, -11.187330510628701], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.36103321373282865, 0.00496229639125547, 95.50807464429882], Rotation: [0.012858883333333331, -0.3103576666666662, 1.5653319080837433], Velocity: [-0.6088778328708555, -0.00967789556298349, -11.459545580047186], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.3508852498516477, 0.004800998131872411, 95.3143572179647], Rotation: [0.013106566666666665, -0.35339193333333285, 1.5653319080837433], Velocity: [-0.6769590244021727, -0.010689724638681895, -11.73176064946567], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.3396025994449448, 0.004622836054561047, 95.11610287380694], Rotation: [0.013354249999999998, -0.3964261999999995, 1.5653319080837433], Velocity: [-0.7450402159334899, -0.0117015537143803, -12.003975718884154], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.32718526251271995, 0.004427810159321375, 94.91331161182553], Rotation: [0.013601933333333332, -0.43946046666666616, 1.5653319080837433], Velocity: [-0.8131214074648071, -0.012713382790078704, -12.276190788302639], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.31363323905497315, 0.004215920446153396, 94.70598343202049], Rotation: [0.013849616666666665, -0.4824947333333328, 1.5653319080837433], Velocity: [-0.8812025989961243, -0.013725211865777109, -12.548405857721123], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.2989465290717044, 0.003987166915057111, 94.4941183343918], Rotation: [0.014097299999999998, -0.5255289999999995, 1.5653319080837433], Velocity: [-0.9492837905274415, -0.014737040941475514, -12.820620927139608], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.2831251325629137, 0.0037415495660325193, 94.27771631893947], Rotation: [0.014344983333333332, -0.5685632666666661, 1.5653319080837433], Velocity: [-1.0173649820587587, -0.015748870017173917, -13.092835996558092], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.2661690495286011, 0.0034790683990796206, 94.0567773856635], Rotation: [0.014592666666666665, -0.6115975333333328, 1.5653319080837433], Velocity: [-1.0854461735900758, -0.01676069909287232, -13.365051065976576], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.2480782799687665, 0.0031997234141984154, 93.83130153456389], Rotation: [0.014840349999999999, -0.6546317999999994, 1.5653319080837433], Velocity: [-1.153527365121393, -0.017772528168570726, -13.63726613539506], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.22885282388340994, 0.0029035146113889033, 93.60128876564065], Rotation: [0.015088033333333332, -0.6976660666666661, 1.5653319080837433], Velocity: [-1.2216085566527104, -0.01878435724426913, -13.909481204813545], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.20849268127253143, 0.0025904419906510844, 93.36673907889376], Rotation: [0.015335716666666666, -0.7407003333333327, 1.5653319080837433], Velocity: [-1.2896897481840277, -0.019796186319967535, -14.18169627423203], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
Position: [0.18699785213613096, 0.002260505551984959, 93.12765247432323], Rotation: [0.015583399999999999, -0.7837345999999994, 1.5653319080837433], Velocity: [-1.357770939715345, -0.02080801539566594, -14.453911343650514], Thrust Rotation: (0.014861, -2.582056), Thrust Magnitude: 0.78457
