Position: [0.061228997617402796, -0.005229308451369022, 101.59481905480223], Rotation: [-0.053959366666666654, 0.010767933333333328, 1.090964539897338], Velocity: [0.19858053281319835, -0.016959919301737375, 5.508223961520778], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.06453867316428943, -0.005511973773064645, 101.68389778749425], Rotation: [-0.05537934999999999, 0.011051299999999995, 1.090964539897338], Velocity: [0.20380633630828252, -0.017406232967572568, 5.653177223666061], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.06793544543609414, -0.005802077655857521, 101.77539240788867], Rotation: [-0.05679933333333332, 0.011334666666666661, 1.090964539897338], Velocity: [0.20903213980336668, -0.01785254663340776, 5.7981304858113445], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.07141931443281692, -0.00609962009974765, 101.86930291598553], Rotation: [-0.05821931666666665, 0.011618033333333328, 1.090964539897338], Velocity: [0.21425794329845085, -0.018298860299242953, 5.943083747956628], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.07499028015445777, -0.0064046011047350325, 101.96562931178481], Rotation: [-0.059639299999999985, 0.011901399999999994, 1.090964539897338], Velocity: [0.21948374679353502, -0.018745173965078146, 6.088037010101911], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.07864834260101669, -0.006717020670819668, 102.0643715952865], Rotation: [-0.06105928333333332, 0.01218476666666666, 1.090964539897338], Velocity: [0.2247095502886192, -0.01919148763091334, 6.232990272247195], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.08239350177249367, -0.007036878798001557, 102.16552976649062], Rotation: [-0.06247926666666665, 0.012468133333333327, 1.090964539897338], Velocity: [0.22993535378370336, -0.019637801296748532, 6.377943534392478], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.08622575766888874, -0.0073641754862806994, 102.26910382539717], Rotation: [-0.06389924999999999, 0.012751499999999994, 1.090964539897338], Velocity: [0.23516115727878753, -0.020084114962583725, 6.522896796537761], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.09014511029020186, -0.007698910735657095, 102.37509377200612], Rotation: [-0.06531923333333332, 0.01303486666666666, 1.090964539897338], Velocity: [0.2403869607738717, -0.020530428628418917, 6.667850058683045], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.09415155963643305, -0.008041084546130743, 102.48349960631751], Rotation: [-0.06673921666666666, 0.013318233333333327, 1.090964539897338], Velocity: [0.24561276426895587, -0.02097674229425411, 6.812803320828328], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.09824510570758233, -0.008390696917701645, 102.59432132833132], Rotation: [-0.06815919999999999, 0.013601599999999993, 1.090964539897338], Velocity: [0.25083856776404, -0.021423055960089303, 6.957756582973611], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.10242574850364966, -0.0087477478503698, 102.70755893804754], Rotation: [-0.06957918333333332, 0.01388496666666666, 1.090964539897338], Velocity: [0.2560643712591242, -0.021869369625924496, 7.102709845118895], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.10669348802463506, -0.009112237344135209, 102.82321243546619], Rotation: [-0.07099916666666665, 0.014168333333333326, 1.090964539897338], Velocity: [0.26129017475420835, -0.02231568329175969, 7.247663107264178], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.11104832427053854, -0.00948416539899787, 102.94128182058726], Rotation: [-0.07241914999999999, 0.014451699999999993, 1.090964539897338], Velocity: [0.2665159782492925, -0.02276199695759488, 7.3926163694094615], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.11549025724136008, -0.009863532014957785, 103.06176709341075], Rotation: [-0.07383913333333332, 0.01473506666666666, 1.090964539897338], Velocity: [0.2717417817443767, -0.023208310623430074, 7.537569631554745], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.12001928693709969, -0.010250337192014953, 103.18466825393666], Rotation: [-0.07525911666666665, 0.015018433333333326, 1.090964539897338], Velocity: [0.27696758523946086, -0.023654624289265267, 7.682522893700028], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.12463541335775738, -0.010644580930169373, 103.309985302165], Rotation: [-0.07667909999999999, 0.015301799999999992, 1.090964539897338], Velocity: [0.282193388734545, -0.02410093795510046, 7.827476155845312], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.12933863650333313, -0.011046263229421047, 103.43771823809575], Rotation: [-0.07809908333333332, 0.015585166666666659, 1.090964539897338], Velocity: [0.2874191922296292, -0.024547251620935653, 7.972429417990595], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.13412895637382696, -0.011455384089769975, 103.56786706172893], Rotation: [-0.07951906666666665, 0.015868533333333327, 1.090964539897338], Velocity: [0.29264499572471336, -0.024993565286770845, 8.11738268013588], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.13900637296923885, -0.011871943511216156, 103.70043177306454], Rotation: [-0.08093904999999998, 0.016151899999999993, 1.090964539897338], Velocity: [0.29787079921979753, -0.02543987895260604, 8.262335942281164], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.1439708862895688, -0.01229594149375959, 103.83541237210255], Rotation: [-0.08235903333333332, 0.01643526666666666, 1.090964539897338], Velocity: [0.3030966027148817, -0.02588619261844123, 8.407289204426448], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.14902249633481685, -0.012727378037400277, 103.972808858843], Rotation: [-0.08377901666666665, 0.016718633333333326, 1.090964539897338], Velocity: [0.30832240620996587, -0.026332506284276424, 8.552242466571732], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.15416120310498294, -0.013166253142138217, 104.11262123328586], Rotation: [-0.08519899999999998, 0.017001999999999993, 1.090964539897338], Velocity: [0.31354820970505004, -0.026778819950111617, 8.697195728717016], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.1593870066000671, -0.01361256680797341, 104.25484949543115], Rotation: [-0.08661898333333332, 0.01728536666666666, 1.090964539897338], Velocity: [0.3187740132001342, -0.02722513361594681, 8.8421489908623], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.16469990682006935, -0.014066319034905857, 104.39949364527885], Rotation: [-0.08803896666666665, 0.017568733333333326, 1.090964539897338], Velocity: [0.3239998166952184, -0.027671447281782002, 8.987102253007585], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.17009990376498965, -0.014527509822935557, 104.54655368282899], Rotation: [-0.08945894999999998, 0.017852099999999992, 1.090964539897338], Velocity: [0.32922562019030255, -0.028117760947617195, 9.132055515152869], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.17558699743482803, -0.01499613917206251, 104.69602960808153], Rotation: [-0.09087893333333331, 0.01813546666666666, 1.090964539897338], Velocity: [0.3344514236853867, -0.028564074613452388, 9.277008777298153], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.18116118782958449, -0.015472207082286717, 104.8479214210365], Rotation: [-0.09229891666666665, 0.018418833333333325, 1.090964539897338], Velocity: [0.3396772271804709, -0.02901038827928758, 9.421962039443438], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.186822474949259, -0.015955713553608177, 105.00222912169389], Rotation: [-0.09371889999999998, 0.018702199999999992, 1.090964539897338], Velocity: [0.34490303067555506, -0.029456701945122774, 9.566915301588722], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.19257085879385158, -0.01644665858602689, 105.1589527100537], Rotation: [-0.09513888333333331, 0.018985566666666658, 1.090964539897338], Velocity: [0.3501288341706392, -0.029903015610957966, 9.711868563734006], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.19840633936336224, -0.016945042179542857, 105.31809218611593], Rotation: [-0.09655886666666665, 0.019268933333333325, 1.090964539897338], Velocity: [0.3553546376657234, -0.03034932927679316, 9.85682182587929], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.20432891665779096, -0.017450864334156074, 105.47964754988058], Rotation: [-0.09797884999999998, 0.01955229999999999, 1.090964539897338], Velocity: [0.36058044116080756, -0.030795642942628352, 10.001775088024575], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.21033859067713775, -0.017964125049866546, 105.64361880134766], Rotation: [-0.09939883333333331, 0.019835666666666658, 1.090964539897338], Velocity: [0.36580624465589173, -0.031241956608463545, 10.146728350169859], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.21643536142140263, -0.01848482432667427, 105.81000594051716], Rotation: [-0.10081881666666664, 0.020119033333333324, 1.090964539897338], Velocity: [0.3710320481509759, -0.03168827027429874, 10.291681612315143], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.22261922889058555, -0.01901296216457925, 105.97880896738907], Rotation: [-0.10223879999999998, 0.02040239999999999, 1.090964539897338], Velocity: [0.37625785164606007, -0.03213458394013394, 10.436634874460427], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.22889019308468656, -0.019548538563581484, 106.15002788196341], Rotation: [-0.10365878333333331, 0.020685766666666657, 1.090964539897338], Velocity: [0.38148365514114424, -0.032580897605969134, 10.581588136605712], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.23524825400370564, -0.020091553523680968, 106.32366268424018], Rotation: [-0.10507876666666664, 0.020969133333333324, 1.090964539897338], Velocity: [0.3867094586362284, -0.03302721127180433, 10.726541398750996], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.24169341164764277, -0.020642007044877706, 106.49971337421935], Rotation: [-0.10649874999999998, 0.02125249999999999, 1.090964539897338], Velocity: [0.3919352621313126, -0.033473524937639526, 10.87149466089628], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.24822566601649798, -0.021199899127171698, 106.67817995190096], Rotation: [-0.10791873333333331, 0.021535866666666657, 1.090964539897338], Velocity: [0.39716106562639675, -0.03391983860347472, 11.016447923041564], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.25484501711027124, -0.021765229770562944, 106.85906241728499], Rotation: [-0.10933871666666664, 0.021819233333333323, 1.090964539897338], Velocity: [0.4023868691214809, -0.03436615226930992, 11.161401185186849], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.2615514649289626, -0.022337998975051444, 107.04236077037143], Rotation: [-0.11075869999999997, 0.02210259999999999, 1.090964539897338], Velocity: [0.4076126726165651, -0.034812465935145115, 11.306354447332133], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.268345009472572, -0.022918206740637194, 107.2280750111603], Rotation: [-0.1121786833333333, 0.022385966666666656, 1.090964539897338], Velocity: [0.41283847611164926, -0.03525877960098031, 11.451307709477417], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.2752256507410995, -0.023505853067320198, 107.4162051396516], Rotation: [-0.11359866666666664, 0.022669333333333323, 1.090964539897338], Velocity: [0.4180642796067334, -0.03570509326681551, 11.596260971622701], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.2821933887345451, -0.024100937955100456, 107.6067511558453], Rotation: [-0.11501864999999997, 0.02295269999999999, 1.090964539897338], Velocity: [0.4232900831018176, -0.036151406932650704, 11.741214233767986], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.2892482234529087, -0.02470346140397797, 107.79971305974144], Rotation: [-0.1164386333333333, 0.023236066666666656, 1.090964539897338], Velocity: [0.42851588659690176, -0.0365977205984859, 11.88616749591327], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.29639015489619036, -0.025313423413952735, 107.99509085134], Rotation: [-0.11785861666666664, 0.023519433333333322, 1.090964539897338], Velocity: [0.43374169009198593, -0.037044034264321096, 12.031120758058554], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.3036191830643901, -0.02593082398502475, 108.19288453064097], Rotation: [-0.11927859999999997, 0.02380279999999999, 1.090964539897338], Velocity: [0.4389674935870701, -0.03749034793015629, 12.176074020203838], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
Position: [0.31093530795750796, -0.026555663117194022, 108.39309409764437], Rotation: [-0.1206985833333333, 0.024086166666666655, 1.090964539897338], Velocity: [0.44419329708215427, -0.03793666159599149, 12.321027282349123], Thrust Rotation: (-0.085199, 0.017002), Thrust Magnitude: 1.886837
