Position: [0.6574618505077274, -0.058041567224103675, 118.35165965327671], Rotation: [-0.09391233333333322, -0.011132133333333325, 0.29860105614098365], Velocity: [0.30048585263995786, -0.02654118594226996, 29.81367653475892], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6624699480517268, -0.05848392032314151, 118.84582926218935], Rotation: [-0.09537951666666655, -0.012776116666666658, 0.29860105614098365], Velocity: [0.2625922982461149, -0.023196734762014632, 30.034582321024047], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6668464863558287, -0.058870532569175085, 119.34368063420642], Rotation: [-0.09684669999999988, -0.014420099999999991, 0.29860105614098365], Velocity: [0.22469874385227195, -0.019852283581759306, 30.255488107289175], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6705914654200332, -0.059201403962204406, 119.84521376932791], Rotation: [-0.09831388333333321, -0.016064083333333326, 0.29860105614098365], Velocity: [0.186805189458429, -0.01650783240150398, 30.476393893554302], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6737048852443404, -0.05947653450222947, 120.35042866755381], Rotation: [-0.09978106666666654, -0.01770806666666666, 0.29860105614098365], Velocity: [0.14891163506458605, -0.013163381221248653, 30.69729967981943], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6761867458287502, -0.05969592418925028, 120.85932532888414], Rotation: [-0.10124824999999987, -0.019352049999999996, 0.29860105614098365], Velocity: [0.11101808067074309, -0.009818930040993327, 30.918205466084558], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6780370471732625, -0.05985957302326683, 121.37190375331888], Rotation: [-0.1027154333333332, -0.02099603333333333, 0.29860105614098365], Velocity: [0.07312452627690014, -0.0064744788607380005, 31.139111252349686], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6792557892778776, -0.059967481004279136, 121.88816394085804], Rotation: [-0.10418261666666653, -0.022640016666666665, 0.29860105614098365], Velocity: [0.03523097188305719, -0.003130027680482674, 31.360017038614814], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6798429721425951, -0.06001964813228718, 122.40810589150162], Rotation: [-0.10564979999999986, -0.024284, 0.29860105614098365], Velocity: [-0.0026625825107857576, 0.00021442349977265213, 31.58092282487994], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6797985957674154, -0.060016074407290974, 122.93172960524961], Rotation: [-0.1071169833333332, -0.025927983333333335, 0.29860105614098365], Velocity: [-0.040556136904628705, 0.0035588746800279784, 31.80182861114507], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6791226601523382, -0.05995675982929051, 123.45903508210203], Rotation: [-0.10858416666666652, -0.02757196666666667, 0.29860105614098365], Velocity: [-0.07844969129847165, 0.006903325860283305, 32.0227343974102], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6778151652973637, -0.05984170439828579, 123.99002232205888], Rotation: [-0.11005134999999985, -0.029215950000000004, 0.29860105614098365], Velocity: [-0.1163432456923146, 0.010247777040538631, 32.243640183675325], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6758761112024918, -0.05967090811427681, 124.52469132512013], Rotation: [-0.11151853333333318, -0.03085993333333334, 0.29860105614098365], Velocity: [-0.15423680008615756, 0.013592228220793957, 32.46454596994045], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6733054978677225, -0.05944437097726358, 125.06304209128581], Rotation: [-0.11298571666666651, -0.032503916666666674, 0.29860105614098365], Velocity: [-0.19213035448000051, 0.016936679401049284, 32.68545175620558], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6701033252930558, -0.05916209298724609, 125.6050746205559], Rotation: [-0.11445289999999984, -0.03414790000000001, 0.29860105614098365], Velocity: [-0.23002390887384347, 0.02028113058130461, 32.90635754247071], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6662695934784918, -0.058824074144224345, 126.15078891293041], Rotation: [-0.11592008333333317, -0.035791883333333344, 0.29860105614098365], Velocity: [-0.2679174632676864, 0.023625581761559936, 33.127263328735836], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6618043024240303, -0.058430314448198344, 126.70018496840935], Rotation: [-0.1173872666666665, -0.03743586666666668, 0.29860105614098365], Velocity: [-0.30581101766152935, 0.026970032941815263, 33.348169115000964], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6567074521296715, -0.057980813899168086, 127.25326278699269], Rotation: [-0.11885444999999983, -0.03907985000000001, 0.29860105614098365], Velocity: [-0.3437045720553723, 0.03031448412207059, 33.56907490126609], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6509790425954153, -0.05747557249713358, 127.81002236868046], Rotation: [-0.12032163333333316, -0.04072383333333335, 0.29860105614098365], Velocity: [-0.38159812644921526, 0.033658935302325915, 33.78998068753122], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6446190738212617, -0.05691459024209482, 128.37046371347265], Rotation: [-0.1217888166666665, -0.04236781666666668, 0.29860105614098365], Velocity: [-0.4194916808430582, 0.03700338648258124, 34.01088647379635], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6376275458072107, -0.0562978671340518, 128.93458682136924], Rotation: [-0.12325599999999982, -0.04401180000000002, 0.29860105614098365], Velocity: [-0.45738523523690117, 0.04034783766283656, 34.231792260061475], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6300044585532624, -0.055625403173004524, 129.50239169237025], Rotation: [-0.12472318333333315, -0.04565578333333335, 0.29860105614098365], Velocity: [-0.4952787896307441, 0.043692288843091884, 34.4526980463266], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6217498120594166, -0.054897198358952994, 130.0738783264757], Rotation: [-0.1261903666666665, -0.04729976666666669, 0.29860105614098365], Velocity: [-0.533172344024587, 0.04703674002334721, 34.67360383259173], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.6128636063256735, -0.05411325269189721, 130.64904672368556], Rotation: [-0.12765754999999984, -0.04894375000000002, 0.29860105614098365], Velocity: [-0.5710658984184299, 0.05038119120360253, 34.89450961885686], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.603345841352033, -0.053273566171837164, 131.22789688399985], Rotation: [-0.12912473333333319, -0.05058773333333336, 0.29860105614098365], Velocity: [-0.6089594528122728, 0.05372564238385785, 35.115415405121986], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5931965171384951, -0.052378138798772865, 131.81042880741856], Rotation: [-0.13059191666666653, -0.05223171666666669, 0.29860105614098365], Velocity: [-0.6468530072061157, 0.057070093564113175, 35.336321191387114], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5824156336850598, -0.05142697057270431, 132.39664249394167], Rotation: [-0.13205909999999987, -0.053875700000000026, 0.29860105614098365], Velocity: [-0.6847465615999586, 0.0604145447443685, 35.55722697765224], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5710031909917271, -0.0504200614936315, 132.9865379435692], Rotation: [-0.13352628333333322, -0.05551968333333336, 0.29860105614098365], Velocity: [-0.7226401159938015, 0.06375899592462382, 35.77813276391737], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5589591890584971, -0.04935741156155443, 133.58011515630116], Rotation: [-0.13499346666666656, -0.057163666666666696, 0.29860105614098365], Velocity: [-0.7605336703876444, 0.06710344710487914, 35.9990385501825], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5462836278853697, -0.048239020776473115, 134.17737413213754], Rotation: [-0.1364606499999999, -0.05880765000000003, 0.29860105614098365], Velocity: [-0.7984272247814873, 0.07044789828513447, 36.219944336447625], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5329765074723448, -0.04706488913838754, 134.77831487107835], Rotation: [-0.13792783333333325, -0.060451633333333366, 0.29860105614098365], Velocity: [-0.8363207791753302, 0.07379234946538979, 36.44085012271275], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5190378278194226, -0.045835016647297715, 135.38293737312355], Rotation: [-0.1393950166666666, -0.0620956166666667, 0.29860105614098365], Velocity: [-0.8742143335691731, 0.07713680064564511, 36.66175590897788], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.5044675889266031, -0.04454940330320363, 135.99124163827318], Rotation: [-0.14086219999999994, -0.06373960000000004, 0.29860105614098365], Velocity: [-0.912107887963016, 0.08048125182590044, 36.88266169524301], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.4892657907938862, -0.04320804910610529, 136.60322766652723], Rotation: [-0.14232938333333328, -0.06538358333333337, 0.29860105614098365], Velocity: [-0.9500014423568589, 0.08382570300615576, 37.103567481508136], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.4734324334212719, -0.04181095405600269, 137.2188954578857], Rotation: [-0.14379656666666663, -0.0670275666666667, 0.29860105614098365], Velocity: [-0.9878949967507018, 0.08717015418641108, 37.324473267773264], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
Position: [0.4569675168087602, -0.04035811815289584, 137.8382450123486], Rotation: [-0.14526374999999997, -0.06867155000000004, 0.29860105614098365], Velocity: [-1.0257885511445448, 0.0905146053666664, 37.54537905403839], Thrust Rotation: (-0.088031, -0.098639), Thrust Magnitude: 2.36259
