Position: [-0.06330538534173805, 0.2150125505450616, 99.19398494082593], Rotation: [-0.7278415000000004, -0.0834800333333334, 2.039270551465683], Velocity: [-0.2083328974373483, 0.7076516580423939, -2.770418463929438], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.06677760029902718, 0.22680674484576818, 99.14508629976044], Rotation: [-0.7492395833333337, -0.05360645000000006, 2.039270551465683], Velocity: [-0.20384767933879872, 0.692450216367047, -2.9374896277035725], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.07017506162134049, 0.23834758178521898, 99.09340313929872], Rotation: [-0.7706376666666671, -0.023732866666666727, 2.039270551465683], Velocity: [-0.19936246124024912, 0.6772487746917, -3.104560791477707], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.07349776930867798, 0.24963506136341398, 99.03893545944075], Rotation: [-0.7920357500000005, 0.006140716666666608, 2.039270551465683], Velocity: [-0.19487724314169952, 0.662047333016353, -3.271631955251842], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.07674572336103963, 0.2606691835803532, 98.98168326018656], Rotation: [-0.8134338333333339, 0.036014299999999944, 2.039270551465683], Velocity: [-0.19039202504314992, 0.646845891341006, -3.4387031190259765], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.07991892377842547, 0.2714499484360366, 98.92164654153612], Rotation: [-0.8348319166666672, 0.06588788333333329, 2.039270551465683], Velocity: [-0.18590680694460032, 0.631644449665659, -3.605774282800111], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.08301737056083547, 0.28197735593046425, 98.85882530348945], Rotation: [-0.8562300000000006, 0.09576146666666663, 2.039270551465683], Velocity: [-0.18142158884605072, 0.616443007990312, -3.772845446574246], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.08604106370826965, 0.2922514060636361, 98.79321954604654], Rotation: [-0.877628083333334, 0.12563504999999997, 2.039270551465683], Velocity: [-0.17693637074750113, 0.6012415663149651, -3.9399166103483805], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.088990003220728, 0.30227209883555217, 98.7248292692074], Rotation: [-0.8990261666666673, 0.1555086333333333, 2.039270551465683], Velocity: [-0.17245115264895153, 0.5860401246396181, -4.106987774122515], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.09186418909821054, 0.3120394342462125, 98.65365447297204], Rotation: [-0.9204242500000007, 0.18538221666666665, 2.039270551465683], Velocity: [-0.16796593455040193, 0.5708386829642711, -4.274058937896649], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.09466362134071724, 0.321553412295617, 98.57969515734042], Rotation: [-0.9418223333333341, 0.2152558, 2.039270551465683], Velocity: [-0.16348071645185233, 0.5556372412889241, -4.441130101670784], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.0973882999482481, 0.33081403298376577, 98.50295132231258], Rotation: [-0.9632204166666675, 0.24512938333333334, 2.039270551465683], Velocity: [-0.15899549835330273, 0.5404357996135771, -4.608201265444919], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.10003822492080315, 0.3398212963106587, 98.4234229678885], Rotation: [-0.9846185000000008, 0.2750029666666667, 2.039270551465683], Velocity: [-0.15451028025475314, 0.5252343579382301, -4.775272429219053], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.10261339625838237, 0.3485752022762959, 98.34111009406818], Rotation: [-1.006016583333334, 0.30487655, 2.039270551465683], Velocity: [-0.15002506215620354, 0.5100329162628832, -4.942343592993188], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.10511381396098576, 0.3570757508806773, 98.25601270085163], Rotation: [-1.0274146666666675, 0.33475013333333337, 2.039270551465683], Velocity: [-0.14553984405765394, 0.4948314745875362, -5.109414756767323], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.10753947802861333, 0.3653229421238029, 98.16813078823884], Rotation: [-1.0488127500000008, 0.3646237166666667, 2.039270551465683], Velocity: [-0.14105462595910434, 0.4796300329121892, -5.276485920541457], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.10989038846126507, 0.3733167760056727, 98.07746435622981], Rotation: [-1.0702108333333342, 0.39449730000000005, 2.039270551465683], Velocity: [-0.13656940786055474, 0.4644285912368422, -5.443557084315592], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.11216654525894099, 0.38105725252628675, 97.98401340482455], Rotation: [-1.0916089166666676, 0.4243708833333334, 2.039270551465683], Velocity: [-0.13208418976200514, 0.44922714956149523, -5.610628248089727], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.11436794842164107, 0.388544371685645, 97.88777793402306], Rotation: [-1.113007000000001, 0.45424446666666674, 2.039270551465683], Velocity: [-0.12759897166345555, 0.43402570788614825, -5.777699411863861], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.11649459794936533, 0.39577813348374746, 97.78875794382533], Rotation: [-1.1344050833333343, 0.4841180500000001, 2.039270551465683], Velocity: [-0.12311375356490595, 0.41882426621080127, -5.944770575637996], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.11854649384211376, 0.40275853792059413, 97.68695343423137], Rotation: [-1.1558031666666677, 0.5139916333333334, 2.039270551465683], Velocity: [-0.11862853546635635, 0.4036228245354543, -6.111841739412131], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.12052363609988637, 0.40948558499618504, 97.58236440524117], Rotation: [-1.177201250000001, 0.5438652166666668, 2.039270551465683], Velocity: [-0.11414331736780675, 0.3884213828601073, -6.278912903186265], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.12242602472268314, 0.41595927471052013, 97.47499085685473], Rotation: [-1.1985993333333345, 0.5737388000000001, 2.039270551465683], Velocity: [-0.10965809926925715, 0.3732199411847603, -6.4459840669604], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.1242536597105041, 0.42217960706359947, 97.36483278907205], Rotation: [-1.2199974166666678, 0.6036123833333334, 2.039270551465683], Velocity: [-0.10517288117070756, 0.35801849950941333, -6.613055230734535], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.12600654106334924, 0.42814658205542305, 97.25189020189315], Rotation: [-1.2413955000000012, 0.6334859666666668, 2.039270551465683], Velocity: [-0.10068766307215796, 0.34281705783406635, -6.780126394508669], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.12768466878121854, 0.4338601996859908, 97.136163095318], Rotation: [-1.2627935833333346, 0.6633595500000001, 2.039270551465683], Velocity: [-0.09620244497360836, 0.32761561615871937, -6.947197558282804], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.129288042864112, 0.43932045995530283, 97.01765146934662], Rotation: [-1.284191666666668, 0.6932331333333335, 2.039270551465683], Velocity: [-0.09171722687505876, 0.3124141744833724, -7.114268722056939], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.13081666331202965, 0.44452736286335903, 96.89635532397901], Rotation: [-1.3055897500000013, 0.7231067166666668, 2.039270551465683], Velocity: [-0.08723200877650916, 0.2972127328080254, -7.281339885831073], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.13227053012497147, 0.4494809084101595, 96.77227465921516], Rotation: [-1.3269878333333347, 0.7529803000000002, 2.039270551465683], Velocity: [-0.08274679067795956, 0.2820112911326784, -7.448411049605208], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.13364964330293747, 0.4541810965957041, 96.64540947505508], Rotation: [-1.348385916666668, 0.7828538833333335, 2.039270551465683], Velocity: [-0.07826157257940997, 0.26680984945733144, -7.615482213379343], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.13495400284592762, 0.458627927419993, 96.51575977149875], Rotation: [-1.3697840000000014, 0.8127274666666668, 2.039270551465683], Velocity: [-0.07377635448086037, 0.25160840778198446, -7.782553377153477], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.13618360875394198, 0.46282140088302604, 96.3833255485462], Rotation: [-1.3911820833333348, 0.8426010500000002, 2.039270551465683], Velocity: [-0.06929113638231077, 0.23640696610663745, -7.949624540927612], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.1373384610269805, 0.46676151698480334, 96.2481068061974], Rotation: [-1.4125801666666682, 0.8724746333333335, 2.039270551465683], Velocity: [-0.06480591828376117, 0.22120552443129043, -8.116695704701746], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.13841855966504318, 0.4704482757253248, 96.11010354445237], Rotation: [-1.4339782500000016, 0.9023482166666669, 2.039270551465683], Velocity: [-0.06032070018521157, 0.20600408275594342, -8.28376686847588], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.13942390466813004, 0.47388167710459056, 95.9693157633111], Rotation: [-1.455376333333335, 0.9322218000000002, 2.039270551465683], Velocity: [-0.055835482086661975, 0.1908026410805964, -8.450838032250013], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
Position: [-0.14035449603624106, 0.4770617211226005, 95.8257434627736], Rotation: [-1.4767744166666683, 0.9620953833333336, 2.039270551465683], Velocity: [-0.05135026398811238, 0.1756011994052494, -8.617909196024147], Thrust Rotation: (-1.283885, 1.792415), Thrust Magnitude: 0.099368
