Position: [-267.7303255689257, 396.4317461734145, 963.2679384107807], Rotation: [-0.5698035000000002, -0.29468425, 4.501213223822247], Velocity: [-944.930560831503, 1399.1708688473461, 3047.164635567462], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-283.47916824945077, 419.75126065420363, 1014.0512906702385], Rotation: [-0.5860836000000003, -0.3031038, 4.501213223822247], Velocity: [-971.9285768552603, 1439.1471793858418, 3134.226482297961], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-299.6779778637051, 443.737046977301, 1066.2856737085378], Rotation: [-0.6023637000000003, -0.31152335, 4.501213223822247], Velocity: [-998.9265928790176, 1479.1234899243375, 3221.28832902846], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-316.32675441168874, 468.3891051427066, 1119.9710875256787], Rotation: [-0.6186438000000003, -0.3199429, 4.501213223822247], Velocity: [-1025.9246089027747, 1519.0998004628332, 3308.350175758959], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-333.42549789340165, 493.7074351504205, 1175.1075321216613], Rotation: [-0.6349239000000003, -0.32836245, 4.501213223822247], Velocity: [-1052.9226249265319, 1559.0761110013289, 3395.4120224894577], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-350.97420830884386, 519.6920370004426, 1231.6950074964857], Rotation: [-0.6512040000000003, -0.33678199999999997, 4.501213223822247], Velocity: [-1079.920640950289, 1599.0524215398245, 3482.4738692199567], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-368.97288565801534, 546.342910692773, 1289.7335136501517], Rotation: [-0.6674841000000004, -0.34520154999999997, 4.501213223822247], Velocity: [-1106.9186569740461, 1639.0287320783202, 3569.5357159504556], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-387.4215299409161, 573.6600562274117, 1349.2230505826594], Rotation: [-0.6837642000000004, -0.35362109999999997, 4.501213223822247], Velocity: [-1133.9166729978033, 1679.005042616816, 3656.5975626809545], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-406.3201411575462, 601.6434736043586, 1410.1636182940088], Rotation: [-0.7000443000000004, -0.36204064999999996, 4.501213223822247], Velocity: [-1160.9146890215604, 1718.9813531553116, 3743.6594094114535], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
Position: [-425.6687193079055, 630.2931628236138, 1472.5552167841997], Rotation: [-0.7163244000000004, -0.37046019999999996, 4.501213223822247], Velocity: [-1187.9127050453176, 1758.9576636938073, 3830.7212561419524], Thrust Rotation: (-0.976806, -0.505173), Thrust Magnitude: 609.637745
