Position: [0.09003004763311595, -0.1191160197386599, 98.6656524413565], Rotation: [-0.5079700999999995, 0.3602604500000001, 0.5930408311288585], Velocity: [0.337612678624185, -0.44668507401997454, -4.666584594913101], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.0956569256101857, -0.12656077097232615, 98.58515103144128], Rotation: [-0.5233631333333328, 0.3711774333333335, 0.5930408311288585], Velocity: [0.3478433658552209, -0.46022098535391315, -4.8079962493044075], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.10145431504110605, -0.1342311207282247, 98.50229276061954], Rotation: [-0.5387561666666661, 0.3820944166666668, 0.5930408311288585], Velocity: [0.35807405308625684, -0.47375689668785176, -4.949407903695714], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.107422215925877, -0.14212706900635558, 98.41707762889128], Rotation: [-0.5541491999999995, 0.3930114000000002, 0.5930408311288585], Velocity: [0.36830474031729277, -0.48729280802179037, -5.09081955808702], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.11356062826449854, -0.15024861580671875, 98.3295056362565], Rotation: [-0.5695422333333328, 0.40392838333333353, 0.5930408311288585], Velocity: [0.3785354275483287, -0.500828719355729, -5.232231212478326], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.1198695520569707, -0.15859576112931423, 98.23957678271519], Rotation: [-0.5849352666666661, 0.4148453666666669, 0.5930408311288585], Velocity: [0.3887661147793646, -0.5143646306896676, -5.373642866869632], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.12634898730329344, -0.167168504974142, 98.14729106826736], Rotation: [-0.6003282999999994, 0.42576235000000023, 0.5930408311288585], Velocity: [0.39899680201040055, -0.5279005420236063, -5.5150545212609385], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.1329989340034668, -0.1759668473412021, 98.05264849291302], Rotation: [-0.6157213333333327, 0.4366793333333336, 0.5930408311288585], Velocity: [0.4092274892414365, -0.5414364533575449, -5.656466175652245], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.13981939215749073, -0.18499078823049453, 97.95564905665215], Rotation: [-0.631114366666666, 0.44759631666666694, 0.5930408311288585], Velocity: [0.4194581764724724, -0.5549723646914835, -5.797877830043551], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.14681036176536527, -0.19424032764201926, 97.85629275948476], Rotation: [-0.6465073999999993, 0.4585133000000003, 0.5930408311288585], Velocity: [0.42968886370350834, -0.5685082760254221, -5.939289484434857], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.15397184282709042, -0.2037154655757763, 97.75457960141084], Rotation: [-0.6619004333333326, 0.46943028333333364, 0.5930408311288585], Velocity: [0.43991955093454427, -0.5820441873593607, -6.080701138826163], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.16130383534266615, -0.21341620203176564, 97.6505095824304], Rotation: [-0.6772934666666659, 0.480347266666667, 0.5930408311288585], Velocity: [0.4501502381655802, -0.5955800986932993, -6.22211279321747], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.1688063393120925, -0.2233425370099873, 97.54408270254345], Rotation: [-0.6926864999999992, 0.49126425000000035, 0.5930408311288585], Velocity: [0.4603809253966161, -0.6091160100272379, -6.363524447608776], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.17647935473536944, -0.23349447051044125, 97.43529896174996], Rotation: [-0.7080795333333325, 0.5021812333333336, 0.5930408311288585], Velocity: [0.47061161262765205, -0.6226519213611765, -6.504936102000082], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.18432288161249696, -0.24387200253312752, 97.32415836004996], Rotation: [-0.7234725666666658, 0.513098216666667, 0.5930408311288585], Velocity: [0.480842299858688, -0.6361878326951151, -6.646347756391388], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.1923369199434751, -0.2544751330780461, 97.21066089744345], Rotation: [-0.7388655999999991, 0.5240152000000003, 0.5930408311288585], Velocity: [0.4910729870897239, -0.6497237440290538, -6.787759410782694], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.20052146972830384, -0.26530386214519697, 97.0948065739304], Rotation: [-0.7542586333333324, 0.5349321833333337, 0.5930408311288585], Velocity: [0.5013036743207598, -0.6632596553629924, -6.929171065174001], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.20887653096698316, -0.27635818973458015, 96.97659538951083], Rotation: [-0.7696516666666657, 0.545849166666667, 0.5930408311288585], Velocity: [0.5115343615517958, -0.676795566696931, -7.070582719565307], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.2174021036595131, -0.28763811584619564, 96.85602734418474], Rotation: [-0.785044699999999, 0.5567661500000004, 0.5930408311288585], Velocity: [0.5217650487828317, -0.6903314780308696, -7.211994373956613], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.22609818780589364, -0.2991436404800435, 96.73310243795213], Rotation: [-0.8004377333333323, 0.5676831333333338, 0.5930408311288585], Velocity: [0.5319957360138676, -0.7038673893648082, -7.353406028347919], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.23496478340612476, -0.31087476363612365, 96.607820670813], Rotation: [-0.8158307666666657, 0.5786001166666671, 0.5930408311288585], Velocity: [0.5422264232449036, -0.7174033006987468, -7.494817682739225], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.24400189046020648, -0.3228314853144361, 96.48018204276734], Rotation: [-0.831223799999999, 0.5895171000000005, 0.5930408311288585], Velocity: [0.5524571104759395, -0.7309392120326854, -7.636229337130532], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
Position: [0.2532095089681388, -0.3350138055149809, 96.35018655381516], Rotation: [-0.8466168333333323, 0.6004340833333338, 0.5930408311288585], Velocity: [0.5626877977069754, -0.744475123366624, -7.777640991521838], Thrust Rotation: (-0.923582, 0.655019), Thrust Magnitude: 0.170354
