Position: [0.0, 0.0, 104.65975], Rotation: [90.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 9.81000000000001], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 104.820525], Rotation: [91.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 9.97350000000001], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 104.984025], Rotation: [93.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 10.137000000000011], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.15025], Rotation: [94.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 10.300500000000012], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.3192], Rotation: [96.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 10.464000000000013], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.49087499999999], Rotation: [97.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 10.627500000000014], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.665275], Rotation: [99.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 10.791000000000015], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 105.8424], Rotation: [100.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 10.954500000000015], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.02225], Rotation: [102.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 11.118000000000016], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.204825], Rotation: [103.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 11.281500000000017], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.390125], Rotation: [105.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 11.445000000000018], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.57815], Rotation: [106.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 11.608500000000019], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.76889999999999], Rotation: [108.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 11.77200000000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 106.962375], Rotation: [109.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 11.93550000000002], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.158575], Rotation: [111.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.099000000000022], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.3575], Rotation: [112.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.262500000000022], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.55915], Rotation: [114.0, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.426000000000023], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.763525], Rotation: [115.5, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.589500000000024], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 107.970625], Rotation: [116.72772833333333, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.617299905000024], Thrust Rotation: (73.6637, 0.0), Thrust Magnitude: 1.17003
Position: [0.0, 0.0, 108.17818833175], Rotation: [117.96469166666667, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.645779970000024], Thrust Rotation: (74.2178, 0.0), Thrust Magnitude: 1.17419
Position: [0.0, 0.0, 108.38622633125], Rotation: [119.21091, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.674941830000025], Thrust Rotation: (74.7731, 0.0), Thrust Magnitude: 1.17836
Position: [0.0, 0.0, 108.59475036175], Rotation: [120.46640666666667, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.704788755000024], Thrust Rotation: (75.3298, 0.0), Thrust Magnitude: 1.18255
Position: [0.0, 0.0, 108.803771841], Rotation: [121.73120166666668, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.735320745000024], Thrust Rotation: (75.8877, 0.0), Thrust Magnitude: 1.18674
Position: [0.0, 0.0, 109.01330218675], Rotation: [123.00531833333335, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.766539435000023], Thrust Rotation: (76.447, 0.0), Thrust Magnitude: 1.19094
Position: [0.0, 0.0, 109.22335284399999], Rotation: [124.28878000000002, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.798446460000024], Thrust Rotation: (77.0077, 0.0), Thrust Magnitude: 1.19515
Position: [0.0, 0.0, 109.43393528499999], Rotation: [125.58161000000001, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.831043455000025], Thrust Rotation: (77.5698, 0.0), Thrust Magnitude: 1.19937
Position: [0.0, 0.0, 109.64506100924999], Rotation: [126.88383000000002, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.864333690000025], Thrust Rotation: (78.1332, 0.0), Thrust Magnitude: 1.20361
Position: [0.0, 0.0, 109.85674157074999], Rotation: [128.19546333333335, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.898317165000025], Thrust Rotation: (78.698, 0.0), Thrust Magnitude: 1.20785
Position: [0.0, 0.0, 110.0689885235], Rotation: [129.51654000000002, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.932997150000025], Thrust Rotation: (79.2646, 0.0), Thrust Magnitude: 1.21211
Position: [0.0, 0.0, 110.281813476], Rotation: [130.84708000000003, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 12.968373645000025], Thrust Rotation: (79.8324, 0.0), Thrust Magnitude: 1.21637
Position: [0.0, 0.0, 110.49522803674999], Rotation: [132.18711000000005, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.004449920000024], Thrust Rotation: (80.4018, 0.0), Thrust Magnitude: 1.22065
Position: [0.0, 0.0, 110.70924386875], Rotation: [133.53665833333338, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.041227610000023], Thrust Rotation: (80.9729, 0.0), Thrust Magnitude: 1.22494
Position: [0.0, 0.0, 110.92387266224999], Rotation: [134.89575000000005, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.078708350000023], Thrust Rotation: (81.5455, 0.0), Thrust Magnitude: 1.22924
Position: [0.0, 0.0, 111.13912613474999], Rotation: [136.26441333333338, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.116895410000023], Thrust Rotation: (82.1198, 0.0), Thrust Magnitude: 1.23356
Position: [0.0, 0.0, 111.35501605824999], Rotation: [137.64267500000005, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.155788790000022], Thrust Rotation: (82.6957, 0.0), Thrust Magnitude: 1.23788
Position: [0.0, 0.0, 111.57155420474999], Rotation: [139.03056500000005, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.195391760000023], Thrust Rotation: (83.2734, 0.0), Thrust Magnitude: 1.24222
Position: [0.0, 0.0, 111.78875240074998], Rotation: [140.42811166666672, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.235707590000024], Thrust Rotation: (83.8528, 0.0), Thrust Magnitude: 1.24658
Position: [0.0, 0.0, 112.00662252724999], Rotation: [141.83534333333338, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.276736280000023], Thrust Rotation: (84.4339, 0.0), Thrust Magnitude: 1.25094
Position: [0.0, 0.0, 112.22517646524999], Rotation: [143.2522916666667, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.318481100000023], Thrust Rotation: (85.0169, 0.0), Thrust Magnitude: 1.25532
Position: [0.0, 0.0, 112.44442615024998], Rotation: [144.6789866666667, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.360945320000022], Thrust Rotation: (85.6017, 0.0), Thrust Magnitude: 1.25972
Position: [0.0, 0.0, 112.66438357224999], Rotation: [146.11546000000004, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.404128940000023], Thrust Rotation: (86.1884, 0.0), Thrust Magnitude: 1.26412
Position: [0.0, 0.0, 112.88506072124999], Rotation: [147.5617416666667, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.448035230000023], Thrust Rotation: (86.7769, 0.0), Thrust Magnitude: 1.26854
Position: [0.0, 0.0, 113.10646964174998], Rotation: [149.01786500000003, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.492667460000023], Thrust Rotation: (87.3674, 0.0), Thrust Magnitude: 1.27298
Position: [0.0, 0.0, 113.32862243274998], Rotation: [150.48386166666668, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.538027265000023], Thrust Rotation: (87.9598, 0.0), Thrust Magnitude: 1.27743
Position: [0.0, 0.0, 113.55153122049998], Rotation: [151.959765, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.584117915000023], Thrust Rotation: (88.5542, 0.0), Thrust Magnitude: 1.2819
Position: [0.0, 0.0, 113.77520818574999], Rotation: [153.44561000000002, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.630941045000023], Thrust Rotation: (89.1507, 0.0), Thrust Magnitude: 1.28638
Position: [0.0, 0.0, 113.99966553649999], Rotation: [154.94142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.678498290000023], Thrust Rotation: (89.7491, 0.0), Thrust Magnitude: 1.29087
Position: [0.0, 0.0, 114.224915508], Rotation: [156.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.726794555000023], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.29539
Position: [0.0, 0.0, 114.45097041724999], Rotation: [157.94142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.775829840000023], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.29991
Position: [0.0, 0.0, 114.67784258124999], Rotation: [159.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.825609050000024], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.30446
Position: [0.0, 0.0, 114.90554439875], Rotation: [160.94142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.876133820000025], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.30902
Position: [0.0, 0.0, 115.13408829574999], Rotation: [162.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.927405785000024], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.31359
Position: [0.0, 0.0, 115.3634867255], Rotation: [163.94142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 13.979429850000024], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.31819
Position: [0.0, 0.0, 115.593752223], Rotation: [165.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 14.032207650000023], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.3228
Position: [0.0, 0.0, 115.8248973505], Rotation: [166.94142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 14.085742455000023], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.32743
Position: [0.0, 0.0, 116.05693472475], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 14.140037535000022], Thrust Rotation: (90.0, 0.0), Thrust Magnitude: 1.33208
Position: [0.0, 0.0, 116.289877017], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 14.303537535000023], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 116.52554430925], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 14.467037535000024], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 116.76393660149999], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 14.630537535000025], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 117.00505389374999], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 14.794037535000026], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 117.24889618599998], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 14.957537535000027], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
Position: [0.0, 0.0, 117.49546347824999], Rotation: [168.44142833333336, 0.0, 4.524809645753716], Velocity: [0.0, 0.0, 15.121037535000028], Thrust Rotation: (0.0, 0.0), Thrust Magnitude: 2.0
